,composer,work,theatre,city,date
4896,Christoph Willibald Gluck,Orfeo ed Euridice (Orpheus and Eurydice) ,Theatre Royal,Nottingham,2004-11-13
4897,Christoph Willibald Gluck,Iphigénie en Tauride ,Venue Cymru,Llandudno,2004-11-13
4898,Jonathan  Dove,Tobias and the Angel ,St Saviour's Church,St Albans,2004-11-13
4899,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",The London Coliseum,London,2004-11-13
4900,Giacomo Puccini,HMS Pinafore (or The Lass that Loved a Sailor) ,Kidderminster Town Hall,Kidderminster,2004-11-13
4901,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Theatre Royal,Norwich,2004-11-13
4902,Ruggiero Leoncavallo,Cavalleria Rusticana ,The Regent Theatre,Ipswich,2004-11-14
4903,Giuseppe Verdi,Rigoletto ,Buxton Opera House,Buxton,2004-11-14
4904,Giuseppe Verdi,Aida ,Swansea Grand Theatre,Swansea,2004-11-15
4905,Giacomo Puccini,"La Rondine, 'The Swallow' ",Royal Opera House Covent Garden,London,2004-11-15
4906,Leoš  Janácek,The Cunning Little Vixen ,Wycombe Swan Theatre,High Wycombe,2004-11-15
4907,Georges Bizet," 
								Excerpts from 'La Bohème' 
						","Pavilion Theatre, International Centre",Bournemouth,2004-11-15
4908,Ruggiero Leoncavallo,Cavalleria Rusticana ,Swansea Grand Theatre,Swansea,2004-11-16
4909,Giacomo Puccini,Turandot ,Birmingham Hippodrome,Birmingham,2004-11-16
4910,Giacomo Puccini,Tosca ,Theatre Royal,Glasgow,2004-11-16
4911,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Wycombe Swan Theatre,High Wycombe,2004-11-16
4912,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,Theatre Royal,Margate,2004-11-16
4913,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Theatre Royal Plymouth,Plymouth,2004-11-16
4914,Giuseppe Verdi,Aida ,Blackpool Grand Theatre,Blackpool,2004-11-17
4915,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",The London Coliseum,London,2004-11-17
4916,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,Theatre Royal,Margate,2004-11-17
4917,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,Blackheath Halls,London,2004-11-17
4918,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Theatre Royal Plymouth,Plymouth,2004-11-17
4919,Ruggiero Leoncavallo,Cavalleria Rusticana ,Blackpool Grand Theatre,Blackpool,2004-11-18
4920,Richard Strauss,Ariadne auf Naxos Op 60,Birmingham Hippodrome,Birmingham,2004-11-18
4921,Giacomo Puccini,"La Rondine, 'The Swallow' ",Royal Opera House Covent Garden,London,2004-11-18
4922,George Frideric Handel,Semele HWV 58,The London Coliseum,London,2004-11-18
4923,Giacomo Puccini,Tosca ,Theatre Royal,Glasgow,2004-11-18
4924,John Gay,Polly (Beggar's Opera Two) ,Sir Richard Eyre Theatre,London,2004-11-18
4925,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,Theatre Royal,Margate,2004-11-18
4926,Claude Debussy,Pelléas et Mélisande ,Theatre Royal Plymouth,Plymouth,2004-11-18
4927,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,Blackheath Halls,London,2004-11-18
4928,Ruggiero Leoncavallo,Cavalleria Rusticana ,Grimsby Auditorium,Grimsby,2004-11-19
4929,Giacomo Puccini,Turandot ,Birmingham Hippodrome,Birmingham,2004-11-19
4930,Giuseppe Verdi,Falstaff ,The London Coliseum,London,2004-11-19
4931,Benjamin Britten,Noye's Fludde Op 59,Emmanuel United Reformed Church,Cambridge,2004-11-19
4932,John Gay,Polly (Beggar's Opera Two) ,Sir Richard Eyre Theatre,London,2004-11-19
4933,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,Theatre Royal,Margate,2004-11-19
4934,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Theatre Royal Plymouth,Plymouth,2004-11-19
4935,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,Blackheath Halls,London,2004-11-19
4936,Nigel Osborne,The Piano Tuner ,Crescent Theatre,Birmingham,2004-11-19
4937,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2004-11-19
4938,Christoph Willibald Gluck,Iphigénie en Tauride ,Birmingham Hippodrome,Birmingham,2004-11-20
4939,Georges Bizet,Carmen ,Reigate Grammar School Concert Hall,Reigate,2004-11-20
4940,Giacomo Puccini,"La Rondine, 'The Swallow' ",Royal Opera House Covent Garden,London,2004-11-20
4941,George Frideric Handel,Semele HWV 58,The London Coliseum,London,2004-11-20
4942,Giacomo Puccini,Tosca ,Theatre Royal,Glasgow,2004-11-20
4943,John Gay,Polly (Beggar's Opera Two) ,Sir Richard Eyre Theatre,London,2004-11-20
4944,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,Theatre Royal,Margate,2004-11-20
4945,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,Theatre Royal,Margate,2004-11-20
4946,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Theatre Royal Plymouth,Plymouth,2004-11-20
4947,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,Blackheath Halls,London,2004-11-20
4948,Sir Arthur Sullivan,HMS Pinafore (or The Lass that Loved a Sailor) ,Blackheath Halls,London,2004-11-20
4949,Sir Harrison Birtwistle,The Io Passion ,Lawrence Batley Theatre,Huddersfield,2004-11-20
4950,Leoš  Janácek,The Cunning Little Vixen ,Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2004-11-20
4951,Giuseppe Verdi,Aida ,Royal Concert Hall,Glasgow,2004-11-21
4952,John Gay,Polly (Beggar's Opera Two) ,Sir Richard Eyre Theatre,London,2004-11-21
4953,Giuseppe Verdi,Aida ,Royal Concert Hall,Glasgow,2004-11-22
4954,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Concert Hall,Glasgow,2004-11-23
4955,Giacomo Puccini,"La Rondine, 'The Swallow' ",Royal Opera House Covent Garden,London,2004-11-23
4956,George Frideric Handel,Semele HWV 58,The London Coliseum,London,2004-11-23
4957,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Regent Theatre,Stoke-on-Trent,2004-11-23
4958,Giuseppe Verdi,Aida ,Caird Hall,Dundee,2004-11-24
4959,Ruggiero Leoncavallo,Cavalleria Rusticana ,Assembly Hall Theatre,Tunbridge Wells,2004-11-24
4960,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",The London Coliseum,London,2004-11-24
4961,Giacomo Puccini,Tosca ,Theatre Royal,Glasgow,2004-11-24
4962,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Regent Theatre,Stoke-on-Trent,2004-11-24
4963,Nigel Osborne,The Piano Tuner ,Lawrence Batley Theatre,Huddersfield,2004-11-24
4964,Reynaldo Hahn,Letters from Composers ,St Mary le Strand,London,2004-11-24
4965,Giuseppe Verdi,Aida ,Aberdeen Music Hall,Aberdeen,2004-11-25
4966,Claude Debussy,Pelléas et Mélisande ,Regent Theatre,Stoke-on-Trent,2004-11-25
4967,Giacomo Puccini,"La Rondine, 'The Swallow' ",Royal Opera House Covent Garden,London,2004-11-26
4968,George Frideric Handel,Semele HWV 58,The London Coliseum,London,2004-11-26
4969,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Regent Theatre,Stoke-on-Trent,2004-11-26
4970,Ruggiero Leoncavallo,Cavalleria Rusticana ,Caird Hall,Dundee,2004-11-27
4971,Wolfgang Amadeus Mozart," 
								Excerpts from 'The Marriage of Figaro' K492
						",Linlithgow Academy,Linlithgow,2004-11-27
4972,Gaetano Donizetti,Don Pasquale ,Royal Opera House Covent Garden,London,2004-11-27
4973,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",The London Coliseum,London,2004-11-27
4974,Giacomo Puccini,Tosca ,Theatre Royal,Glasgow,2004-11-27
4975,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Regent Theatre,Stoke-on-Trent,2004-11-27
4976,Mikhail Glinka,A Life for the Tsar ,"Queen Elizabeth Hall, Southbank Centre",London,2004-11-27
4977,Ruggiero Leoncavallo,Cavalleria Rusticana ,Grand Opera House,York,2004-11-28
4978,Giuseppe Verdi,Aida ,Palace Theatre,Manchester,2004-11-30
4979,Gaetano Donizetti,Don Pasquale ,Royal Opera House Covent Garden,London,2004-11-30
4980,Giacomo Puccini,Tosca ,Edinburgh Festival Theatre,Edinburgh,2004-11-30
4981,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",New Theatre,Oxford,2004-11-30
4982,Giacomo Puccini,Turandot ,Liverpool Empire Theatre,Liverpool,2004-12-01
4983,Ruggiero Leoncavallo,Cavalleria Rusticana ,Palace Theatre,Manchester,2004-12-01
4984,George Frideric Handel,Semele HWV 58,The London Coliseum,London,2004-12-01
4985,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",New Theatre,Oxford,2004-12-01
4986,George Frideric Handel,Il Pastor Fido HWV 8a,"St James's Church, Piccadilly",London,2004-12-01
4987,Errollyn Wallen,Another America: Earth ,Blackheath Halls,London,2004-12-01
4988,Ruggiero Leoncavallo,Cavalleria Rusticana ,Palace Theatre,Manchester,2004-12-02
4989,Giacomo Puccini,Tosca ,Edinburgh Festival Theatre,Edinburgh,2004-12-02
4990,Claude Debussy,Pelléas et Mélisande ,New Theatre,Oxford,2004-12-02
4991,Errollyn Wallen,Another America: Earth ,Blackheath Halls,London,2004-12-02
4992,Richard Strauss,Ariadne auf Naxos Op 60,Liverpool Empire Theatre,Liverpool,2004-12-03
4993,Jonathan  Dove,Tobias and the Angel ,St Andrew's Church,Alderton,2004-12-03
4994,Giuseppe Verdi,Aida ,Palace Theatre,Manchester,2004-12-03
4995,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",The London Coliseum,London,2004-12-03
4996,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",New Theatre,Oxford,2004-12-03
4997,Giacomo Puccini,Turandot ,Liverpool Empire Theatre,Liverpool,2004-12-04
4998,Jonathan  Dove,Tobias and the Angel ,St Andrew's Church,Alderton,2004-12-04
4999,Giuseppe Verdi,Aida ,Palace Theatre,Manchester,2004-12-04
5000,Kurt Weill,One Touch of Venus ,Leeds Grand Theatre and Opera House,Leeds,2004-12-04
5001,Gaetano Donizetti,Don Pasquale ,Royal Opera House Covent Garden,London,2004-12-04
5002,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2004-12-04
5003,Giacomo Puccini,Tosca ,Edinburgh Festival Theatre,Edinburgh,2004-12-04
5004,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",New Theatre,Oxford,2004-12-04
5005,Giuseppe Verdi,Aida ,Brighton Centre,Brighton,2004-12-05
5006,Kurt Weill,One Touch of Venus ,Leeds Grand Theatre and Opera House,Leeds,2004-12-06
5007,Richard Strauss,Ariadne auf Naxos Op 60,Bristol Hippodrome,Bristol,2004-12-07
5008,Kurt Weill,One Touch of Venus ,Leeds Grand Theatre and Opera House,Leeds,2004-12-07
5009,Gaetano Donizetti,Don Pasquale ,Royal Opera House Covent Garden,London,2004-12-07
5010,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2004-12-07
5011,Giacomo Puccini,Tosca ,Edinburgh Festival Theatre,Edinburgh,2004-12-07
5012,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Wimbledon Theatre,London,2004-12-07
5013,Giacomo Puccini,Turandot ,Bristol Hippodrome,Bristol,2004-12-08
5014,Kurt Weill,One Touch of Venus ,Leeds Grand Theatre and Opera House,Leeds,2004-12-08
5015,Kurt Weill,One Touch of Venus ,Leeds Grand Theatre and Opera House,Leeds,2004-12-09
5016,Gaetano Donizetti,Don Pasquale ,Royal Opera House Covent Garden,London,2004-12-09
5017,Giacomo Puccini,Tosca ,Edinburgh Festival Theatre,Edinburgh,2004-12-09
5018,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Wimbledon Theatre,London,2004-12-09
5019,Christoph Willibald Gluck,Iphigénie en Tauride ,Bristol Hippodrome,Bristol,2004-12-10
5020,Kurt Weill,One Touch of Venus ,Leeds Grand Theatre and Opera House,Leeds,2004-12-10
5021,Giacomo Puccini,Turandot ,Bristol Hippodrome,Bristol,2004-12-11
5022,Gaetano Donizetti,Don Pasquale ,Royal Opera House Covent Garden,London,2004-12-11
5023,Giacomo Puccini,Tosca ,Edinburgh Festival Theatre,Edinburgh,2004-12-11
5024,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Wimbledon Theatre,London,2004-12-11
5025,George Frideric Handel,Belshazzar HWV 61,"Christ Church, Spitalfields",London,2004-12-13
5026,Gaetano Donizetti,Don Pasquale ,Royal Opera House Covent Garden,London,2004-12-14
5027,George Frideric Handel,Semele HWV 58,The London Coliseum,London,2004-12-16
5028,Gaetano Donizetti,Don Pasquale ,Royal Opera House Covent Garden,London,2004-12-17
5029,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2004-12-17
5030,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Royal Opera House Covent Garden,London,2004-12-18
5031,George Frideric Handel,Semele HWV 58,The London Coliseum,London,2004-12-18
5032,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Royal Opera House Covent Garden,London,2004-12-21
5033,Giacomo Puccini," 
								Excerpts from 'The Barber of Seville' 
						","New Auditorium, Glasgow Royal Concert Hall",Glasgow,2004-12-27
5034,John Gay,Polly (Beggar's Opera Two) ,Purcell Room,London,2004-12-27
5035,Giacomo Puccini,Composition Not Known ,The Bridgewater Hall,Manchester,2004-12-28
5036,Giacomo Puccini," 
								Excerpts from 'The Barber of Seville' 
						",Barbican Hall,London,2004-12-28
5037,Sir Arthur Sullivan," 
								Excerpts from 'The Pirates of Penzance' 
						",Symphony Hall,Birmingham,2004-12-28
5038,Giacomo Puccini," 
								Excerpts from 'The Barber of Seville' 
						",Symphony Hall,Birmingham,2004-12-29
5039,Giuseppe Verdi," 
								Excerpts from 'The Marriage of Figaro' K492
						",The Bridgewater Hall,Manchester,2004-12-31
5040,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Royal Opera House Covent Garden,London,2005-01-04
5041,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Royal Opera House Covent Garden,London,2005-01-07
5042,Ralph Vaughan Williams,Composition Not Known ,Bearwood College ,Wokingham,2005-01-08
5043,Ralph Vaughan Williams,Composition Not Known ,Bearwood College Theatre,"Winnersh, Wokingham",2005-01-09
5044,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Royal Opera House Covent Garden,London,2005-01-10
5045,Giuseppe Verdi,La Traviata ,Rosslyn Hill Unitarian Chapel,Hampstead,2005-01-14
5046,Wolfgang Amadeus Mozart,Don Giovanni K 527,Leeds Grand Theatre and Opera House,Leeds,2005-01-15
5047,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2005-01-15
5048,Giuseppe Verdi,La Traviata ,Rosslyn Hill Unitarian Chapel,Hampstead,2005-01-15
5049,Giacomo Puccini,Composition Not Known ,Holy Trinity Church,Leamington Spa,2005-01-15
5050,Wolfgang Amadeus Mozart,Don Giovanni K 527,Leeds Grand Theatre and Opera House,Leeds,2005-01-17
5051,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2005-01-17
5052,Wolfgang Amadeus Mozart," 
								Finale from 'Symphony No 6 in F' K 43
						",Wigmore Hall,London,2005-01-19
5053,Sir Michael Tippett,The Knot Garden ,Theatre Royal,Glasgow,2005-01-19
5054,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2005-01-20
5055,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2005-01-20
5056,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2005-01-22
5057,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2005-01-22
5058,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2005-01-22
5059,Sir Michael Tippett,The Knot Garden ,Theatre Royal,Glasgow,2005-01-22
5060,Sir Michael Tippett,The Knot Garden ,Theatre Royal,Glasgow,2005-01-25
5061,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2005-01-26
5062,Wolfgang Amadeus Mozart,Don Giovanni K 527,Leeds Grand Theatre and Opera House,Leeds,2005-01-27
5063,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2005-01-27
5064,Gioachino Rossini,"La Gazza ladra, 'The Thieving Magpie' ",Leeds Grand Theatre and Opera House,Leeds,2005-01-28
5065,Wolfgang Amadeus Mozart,Don Giovanni K 527,"E M Forster Theatre, Tonbridge School",Tonbridge,2005-01-28
5066,Wolfgang Amadeus Mozart,Don Giovanni K 527,Leeds Grand Theatre and Opera House,Leeds,2005-01-29
5067,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2005-01-29
5068,Sir Michael Tippett,The Knot Garden ,Theatre Royal,Glasgow,2005-01-29
5069,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2005-01-29
5070,Gioachino Rossini,"La Gazza ladra, 'The Thieving Magpie' ",Leeds Grand Theatre and Opera House,Leeds,2005-02-01
5071,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2005-02-01
5072,Giacomo Puccini,Madama Butterfly ,De Montfort Hall,Leicester,2005-02-01
5073,Giacomo Puccini,Madama Butterfly ,Cambridge Corn Exchange,Cambridge,2005-02-02
5074,Kurt Weill,One Touch of Venus ,Leeds Grand Theatre and Opera House,Leeds,2005-02-02
5075,Jacques Offenbach,Les Contes d'Hoffmann (The Tales of Hoffmann) ,Leeds Civic Theatre,Leeds,2005-02-02
5076,Giuseppe Verdi,Falstaff ,King's Theatre,Edinburgh,2005-02-02
5077,Wolfgang Amadeus Mozart,Don Giovanni K 527,Leeds Grand Theatre and Opera House,Leeds,2005-02-03
5078,Jacques Offenbach,Les Contes d'Hoffmann (The Tales of Hoffmann) ,Leeds Civic Theatre,Leeds,2005-02-03
5079,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2005-02-03
5080,Sir Michael Tippett,The Knot Garden ,Edinburgh Festival Theatre,Edinburgh,2005-02-03
5081,Giuseppe Verdi,La Traviata ,New Theatre,Oxford,2005-02-03
5082,Jacques Offenbach,Les Contes d'Hoffmann (The Tales of Hoffmann) ,Leeds Civic Theatre,Leeds,2005-02-04
5083,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2005-02-04
5084,Wolfgang Amadeus Mozart,Don Giovanni K 527,Blackheath Halls,London,2005-02-04
5085,Giuseppe Verdi,Falstaff ,King's Theatre,Edinburgh,2005-02-04
5086,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2005-02-04
5087,Giacomo Puccini,Madama Butterfly ,New Theatre,Oxford,2005-02-04
5088,Gioachino Rossini,"La Gazza ladra, 'The Thieving Magpie' ",Leeds Grand Theatre and Opera House,Leeds,2005-02-05
5089,Jacques Offenbach,Les Contes d'Hoffmann (The Tales of Hoffmann) ,Leeds Civic Theatre,Leeds,2005-02-05
5090,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2005-02-05
5091,Sir Michael Tippett,The Knot Garden ,Edinburgh Festival Theatre,Edinburgh,2005-02-05
5092,George Frideric Handel,Parnasso in Festa HWV 73,St John's Smith Square,London,2005-02-05
5093,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,The London Coliseum,London,2005-02-05
5094,Giacomo Puccini,Turandot ,National Concert Hall,Dublin 2,2005-02-05
5095,Giacomo Puccini,Madama Butterfly ,New Theatre,Oxford,2005-02-05
5096,Gioachino Rossini,Composition Not Known ,"Burgh House, Hampstead",London,2005-02-06
5097,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,The Guildhall,York,2005-02-06
5098,Giacomo Puccini,Madama Butterfly ,White Rock Theatre,Hastings,2005-02-06
5099,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2005-02-07
5100,Giacomo Puccini,Turandot ,National Concert Hall,Dublin 2,2005-02-07
5101,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2005-02-08
5102,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Borough Hall,Godalming,2005-02-08
5103,Giacomo Puccini,Madama Butterfly ,Grimsby Auditorium,Grimsby,2005-02-08
5104,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,The London Coliseum,London,2005-02-09
5105,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2005-02-09
5106,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Borough Hall,Godalming,2005-02-09
5107,Giacomo Puccini,Madama Butterfly ,Buxton Opera House,Buxton,2005-02-09
5108,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2005-02-10
5109,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2005-02-10
5110,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Borough Hall,Godalming,2005-02-10
5111,Giacomo Puccini,Madama Butterfly ,Swansea Grand Theatre,Swansea,2005-02-10
5112,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,The London Coliseum,London,2005-02-11
5113,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2005-02-11
5114,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Borough Hall,Godalming,2005-02-11
5115,Léo Delibes," 
								One Fine Day from 'Madam Butterfly' 
						",Buxton Opera House,Buxton,2005-02-11
5116,Giuseppe Verdi,La Traviata ,The Anvil,Basingstoke,2005-02-11
5117,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2005-02-12
5118,Wolfgang Amadeus Mozart,Don Giovanni K 527,Centenary Hall,Berkhamsted,2005-02-12
5119,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2005-02-12
5120,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Borough Hall,Godalming,2005-02-12
5121,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Borough Hall,Godalming,2005-02-12
5122,Giacomo Puccini,Madama Butterfly ,The Anvil,Basingstoke,2005-02-12
5123,Wolfgang Amadeus Mozart,Don Giovanni K 527,Theatre Royal,Margate,2005-02-13
5124,Giacomo Puccini,Madama Butterfly ,Alexandra Theatre,Birmingham,2005-02-13
5125,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Royal Opera House Covent Garden,London,2005-02-14
5126,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,The London Coliseum,London,2005-02-14
5127,Wolfgang Amadeus Mozart," 
								Excerpts from 'The Magic Flute' 
						","St Paul's Church, Knightsbridge",London,2005-02-14
5128,Giacomo Puccini,Madama Butterfly ,Opera House,Manchester,2005-02-14
5129,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,The London Coliseum,London,2005-02-15
5130,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2005-02-15
5131,Giacomo Puccini,Madama Butterfly ,Opera House,Manchester,2005-02-15
5132,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Royal Opera House Covent Garden,London,2005-02-16
5133,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2005-02-16
5134,Giuseppe Verdi,Composition Not Known ,St John's Smith Square,London,2005-02-16
5135,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,Cork Opera House,Cork City,2005-02-16
5136,Giuseppe Verdi,La Traviata ,Opera House,Manchester,2005-02-16
5137,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-17
5138,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,The London Coliseum,London,2005-02-17
5139,Heinrich Schütz,Cantate Domino ,The Cathedral Church of St Peter and St Paul,Sheffield,2005-02-17
5140,Giuseppe Verdi,La Traviata ,Opera House,Manchester,2005-02-17
5141,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-18
5142,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2005-02-18
5143,Giuseppe Verdi,La Traviata ,Wales Millennium Centre,Cardiff,2005-02-18
5144,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Leatherhead Theatre,Leatherhead,2005-02-18
5145,Giacomo Puccini,Madama Butterfly ,Opera House,Manchester,2005-02-18
5146,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-19
5147,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-19
5148,John Frederick Lampe,Dido and Aeneas Z626,"St Paul's Church, 'The Actor's Church' Covent Garden",London,2005-02-19
5149,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,The London Coliseum,London,2005-02-19
5150,George Frideric Handel,Semele HWV 58,Theatre Royal,Glasgow,2005-02-19
5151,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Leatherhead Theatre,Leatherhead,2005-02-19
5152,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Leatherhead Theatre,Leatherhead,2005-02-19
5153,Alban Berg,Wozzeck Op 7,Milton Keynes Theatre,Milton Keynes,2005-02-19
5154,Heinrich Schütz,Cantate Domino ,The Cathedral Church of St Peter and St Paul,Sheffield,2005-02-19
5155,Giacomo Puccini,Madama Butterfly ,Opera House,Manchester,2005-02-19
5156,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-20
5157,Giacomo Puccini,Madama Butterfly ,Grand Opera House,York,2005-02-20
5158,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Royal Opera House Covent Garden,London,2005-02-21
5159,Colin Riley,Close ,Riverside Studios,London,2005-02-21
5160,Wolfgang Amadeus Mozart,Don Giovanni K 527,Leeds Grand Theatre and Opera House,Leeds,2005-02-22
5161,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-22
5162,George Frideric Handel,Semele HWV 58,Theatre Royal,Glasgow,2005-02-22
5163,Colin Riley,Close ,Riverside Studios,London,2005-02-22
5164,Nikolay Rimsky-Korsakov,The Legend of the Invisible City of Kitezh (Skazaniye o nevidimom grade Kitezhe) ,Barbican Hall,London,2005-02-23
5165,Gioachino Rossini,"La Gazza ladra, 'The Thieving Magpie' ",Leeds Grand Theatre and Opera House,Leeds,2005-02-23
5166,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-23
5167,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Royal Opera House Covent Garden,London,2005-02-23
5168,Igor Stravinsky,The Rake's Progress ,West Road Concert Hall,Cambridge,2005-02-23
5169,Kurt Weill,One Touch of Venus ,Leeds Grand Theatre and Opera House,Leeds,2005-02-24
5170,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-24
