,country,city,venue,dates,composer,work,listing_url
503,Germany,Frankfurt am Main,Oper Frankfurt,"October 06 19:30, October 12 19:30, October 19 19:30, October 26 19:30, November 04 18:00","Strauss, Richard (1864-1949)",Capriccio,https://bachtrack.com/opera-listing/oper-frankfurt/capriccio/06-october-2018/19-30
504,United States,Chicago,Lyric Opera House,"October 06 18:30, October 11 14:00, October 14 14:00, October 17 19:00, October 20 19:30","Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/lyric-opera-house/la-boheme/06-october-2018/18-30
505,United Kingdom,Leicester,Haymarket Theatre,On Saturday  6 October 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/haymarket-theatre/madama-butterfly/06-october-2018/19-30
506,Germany,Munich,Nationaltheater,"October 07, 11, 14, 17 at 19:00","Verdi, Giuseppe (1813-1901)",Il trovatore,https://bachtrack.com/opera-listing/nationaltheater-1927/il-trovatore/07-october-2018/19-00
507,Germany,Berlin,"Berlin State Opera, Unter den Linden","October 07 18:00, October 12 19:30, October 17 19:30, October 20 19:30, October 25 19:30, October 28 19:30","Cherubini, Luigi (1760-1842)",Médée,https://bachtrack.com/opera-listing/berlin-state-opera-unter-den-linden/medea/07-october-2018/18-00
508,United Kingdom,Aldershot,Princes Hall,On Sunday  7 October 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/princes-hall/madama-butterfly/07-october-2018/19-30
509,Italy,Milan,La Scala,"October 08, 11, 16, 20 14:00, 23, 26, 29 (at 20:00 unless shown)","Mozart, Wolfgang Amadeus (1756-1791)",La finta giardiniera,https://bachtrack.com/opera-listing/la-scala/la-finta-giardiniera/08-october-2018/20-00
510,United Kingdom,"Ventnor, Isle of Wight",Shanklin Theatre,"October 08, 09 at 19:30","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/shanklin-theatre/carmen/08-october-2018/19-30
511,Italy,Rome,"Teatro Costanzi, Teatro dell'Opera","October 09, 10, 11, 12, 13 18:00, 14 16:30, 16, 17 (at 20:00 unless shown)","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/teatro-costanzi-teatro-dellopera/die-zauberflote/09-october-2018/20-00
512,Italy,Naples,Teatro di San Carlo,"October 09 20:00, October 10 18:00, October 12 20:00, October 13 20:00, October 14 17:00","Verdi, Giuseppe (1813-1901)",Nabucco,https://bachtrack.com/opera-listing/teatro-di-san-carlo/nabucco/09-october-2018/20-00
513,United Kingdom,Swansea,Swansea Grand Theatre,On Wednesday 10 October 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/swansea-grand-theatre/carmen/10-october-2018/19-30
514,United Kingdom,London,The London Coliseum,"October 11 19:30, October 13 18:30, October 17 19:30, October 19 19:30, October 24 19:30, October 26 19:30, October 27 18:30, October 29 19:30, October 31 19:30, November 03 15:00, November 08 19:30, November 10 18:30, November 14 19:30, November 17 15:00","Gershwin, George (1898-1937)",Porgy and Bess,https://bachtrack.com/opera-listing/the-london-coliseum/porgy-and-bess/11-october-2018/19-30
515,France,Lyon,Opéra Nouvel,"October 11, 13, 15, 17, 19, 21 16:00, 23 (at 20:00 unless shown)","Boito, Arrigo (1842-1918)",Mefistofele,https://bachtrack.com/opera-listing/opera-nouvel/mefistofele/11-october-2018/20-00
516,Germany,Berlin,Deutsche Oper,"October 12, 17, 20 at 19:30","Berlioz, Hector (1803-1869)",The Damnation of Faust (La Damnation de Faust),https://bachtrack.com/opera-listing/deutsche-oper/la-damnation-de-faust/12-october-2018/19-30
517,United Kingdom,Glyndebourne,Glyndebourne Opera House,"October 12 19:00, October 15 16:00, October 18 19:00, October 21 16:00, October 24 16:00, October 27 16:00, October 30 16:00","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/glyndebourne-opera-house/la-traviata/12-october-2018/19-00
518,Austria,Vienna,Staatsoper,"October 12, 15, 18 at 00:00","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/staatsoper/le-nozze-di-figaro/12-october-2018/00-00
519,United Kingdom,London,Hackney Empire,On Friday 12 October 2018 at 19:30,"Purcell, Henry (1659-1695)",Dido and Aeneas,https://bachtrack.com/concert-listing/hackney-empire/triple-bill-dido-amp-aeneas-purcell-jonas-carissimi-i-will-not-speak-gesualdo/12-october-2018/19-30
520,France,Paris,"Salle Favart, Opéra Comique","October 12, 14 15:00, 16, 18, 20, 22, 24 (at 20:00 unless shown)","Gluck, Christoph Willibald (1714-1787)",Orphée et Eurydice,https://bachtrack.com/opera-listing/opera-comique/orphee-et-eurydice/12-october-2018/20-00
521,United Kingdom,London,Hackney Empire,"October 13, November 24 at 19:30","Handel, George Frideric (1685-1759)","Radamisto, HWV 12a, b",https://bachtrack.com/opera-listing/hackney-empire/radamisto/13-october-2018/19-30
522,Austria,Vienna,Theater an der Wien,"October 13, 16, 18, 21, 23, 27 at 19:00","Rossini, Gioachino (1792-1868)",Guillaume Tell (William Tell),https://bachtrack.com/opera-listing/theater-an-der-wien/guillaume-tell/13-october-2018/19-00
523,United Kingdom,Glyndebourne,Glyndebourne Opera House,"October 13 16:00, October 20 16:00, October 22 16:00, October 25 19:00, October 28 16:00, October 31 19:00","Massenet, Jules (1842-1912)",Cendrillon,https://bachtrack.com/opera-listing/glyndebourne-opera-house/cendrillon/13-october-2018/16-00
524,Germany,Berlin,Komische Oper Berlin,"October 13 19:30, October 20 19:30, October 27 19:30, November 17 19:30, December 08 19:30, December 16 19:00","Prokofiev, Sergei (1891-1953)",The Love for Three Oranges,https://bachtrack.com/opera-listing/komische-oper-berlin/die-liebe-zu-drei-orangen-the-love-for-three-oranges/13-october-2018/19-30
525,United States,Chicago,Lyric Opera House,"October 13 19:30, October 18 19:00, October 21 14:00, October 24 19:00, October 28 14:00, November 02 19:00","Mozart, Wolfgang Amadeus (1756-1791)","Idomeneo, rè di Creta",https://bachtrack.com/opera-listing/lyric-opera-house/idomeneo-re-di-creta/13-october-2018/19-30
526,Germany,Berlin,"Berlin State Opera, Unter den Linden","October 13 19:00, October 18 19:00, October 21 18:00, October 26 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/berlin-state-opera-unter-den-linden/le-nozze-di-figaro/13-october-2018/19-00
527,United Kingdom,Poole,Lighthouse,On Saturday 13 October 2018 at 19:45,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/lighthouse/madama-butterfly/13-october-2018/19-45
528,Austria,Vienna,Staatsoper,"October 14, 17, 21, 26, November 01, 04 at 00:00","Berlioz, Hector (1803-1869)",The Trojans (Les Troyens),https://bachtrack.com/opera-listing/staatsoper/les-troyens/14-october-2018/00-00
529,United Kingdom,Malvern,Malvern Theatres: Forum Theatre,On Sunday 14 October 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/malvern-theatres-forum-theatre/carmen/14-october-2018/19-30
530,Austria,Vienna,Staatsoper,"October 16, 19, 22, 25 at 00:00","Strauss, Richard (1864-1949)",Elektra,https://bachtrack.com/opera-listing/staatsoper/elektra/16-october-2018/00-00
531,United States,San Francisco,War Memorial Opera House,"October 16 19:30, October 19 19:30, October 24 19:30, October 28 14:00, November 03 19:30","Strauss, Richard (1864-1949)",Arabella,https://bachtrack.com/opera-listing/war-memorial-opera-house/arabella/16-october-2018/19-30
532,Spain,Barcelona,Gran Teatre del Liceu,"October 18, 20 at 20:00","Bernstein, Leonard (1918-1990)",Candide,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/candide-in-concert/18-october-2018/20-00
533,United Kingdom,Glasgow,Theatre Royal,"October 18 19:15, October 21 15:00, October 24 19:15, October 27 19:15","Verdi, Giuseppe (1813-1901)",Rigoletto,https://bachtrack.com/opera-listing/theatre-royal-43/rigoletto/18-october-2018/19-15
534,Germany,Berlin,Deutsche Oper,"October 18, 24, 30, November 09 at 19:30","Verdi, Giuseppe (1813-1901)",Messa da Requiem,https://bachtrack.com/opera-listing/deutsche-oper/messa-da-requiem/18-october-2018/19-30
535,United Kingdom,London,Temple Church,On Thursday 18 October 2018 at 19:00,"Bach, Johann Sebastian (1685-1750)","St Matthew Passion, BWV244",https://bachtrack.com/concert-listing/temple-church/st-matthew-passion/18-october-2018/19-00
536,Belgium,Liège,Opéra Royal de Wallonie-Liège,"October 19 20:00, October 21 15:00, October 23 20:00, October 25 20:00, October 27 20:00","Cimarosa, Domenico (1749-1801)",Il matrimonio segreto (The Secret Marriage),https://bachtrack.com/opera-listing/opera-royal-de-wallonie-liege/il-matrimonio-segreto-the-secret-marriage/19-october-2018/20-00
537,Germany,Leipzig,Opernhaus,"October 19 19:30, December 21 19:30, 2019 March 24 18:00, April 20 19:00","Weber, Carl Maria von (1786-1826)",Der Freischütz,https://bachtrack.com/opera-listing/opernhaus/der-freischutz/19-october-2018/19-30
538,Germany,Munich,Nationaltheater,"October 19 19:30, October 21 18:00, October 26 20:00","Janáček, Leoš (1854-1928)",From the House of the Dead,https://bachtrack.com/opera-listing/nationaltheater-1927/aus-einem-totenhaus/19-october-2018/19-30
539,United States,New York City,Lincoln Center: Metropolitan Opera House,"October 19 20:00, October 22 19:30, October 27 20:00, October 31 19:30, November 03 20:00, November 07 19:30, November 10 13:00","Muhly, Nico (b. 1981)",Marnie,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/marnie/19-october-2018/20-00
540,United States,Los Angeles,Dorothy Chandler Pavilion,"October 20 19:30, October 27 19:30, November 01 19:30, November 04 14:00, November 08 19:30, November 11 14:00","Glass, Philip (b. 1937)",Satyagraha,https://bachtrack.com/opera-listing/dorothy-chandler-pavilion/satyagraha/20-october-2018/19-30
541,Germany,Munich,Nationaltheater,"October 20 19:30, October 25 19:00, October 29 19:00, November 02 19:00","Verdi, Giuseppe (1813-1901)",Rigoletto,https://bachtrack.com/opera-listing/nationaltheater-1927/rigoletto/20-october-2018/19-30
542,Austria,Graz,Oper Graz,"October 20, 24, November 04 15:00, 08, 11 15:00, 30, December 07, 22, 23 15:00, 2019 January 11, 23, February 15, 17 15:00, March 08, 09, 16, 22, 30, April 12, 13, May 11 (at 19:30 unless shown)","Porter, Cole (1891-1964)","Kiss me, Kate",https://bachtrack.com/opera-listing/oper-graz/kiss-me-kate/20-october-2018/19-30
543,Switzerland,Zürich,Opernhaus,"October 21 19:30, October 26 20:00, October 28 18:00, November 03 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Die Entführung aus dem Serail (The Abduction from the Harem),https://bachtrack.com/opera-listing/opernhaus-1069/die-entfuhrung-aus-dem-serail-the-abduction-from-the-harem/21-october-2018/19-30
544,Germany,Leipzig,Opernhaus,"October 21 18:00, 2019 February 03 18:00, May 24 19:30","Verdi, Giuseppe (1813-1901)",Nabucco,https://bachtrack.com/opera-listing/opernhaus/nabucco/21-october-2018/18-00
545,United Kingdom,Durham,Durham Gala Theatre,On Monday 22 October 2018 at 19:30,"Purcell, Henry (1659-1695)",Dido and Aeneas,https://bachtrack.com/concert-listing/durham-gala-theatre/triple-bill-dido-amp-aeneas-purcell-jonas-carissimi-i-will-not-speak-gesualdo/22-october-2018/19-30
546,Austria,Vienna,Theater an der Wien,On Monday 22 October 2018 at 19:00,"Handel, George Frideric (1685-1759)",Serse (Xerxes),https://bachtrack.com/opera-listing/theater-an-der-wien/serse-konzertant/22-october-2018/19-00
547,Austria,Vienna,Staatsoper,"October 23, 28, November 02, 07 at 00:00","Wagner, Richard (1813-1883)",Lohengrin,https://bachtrack.com/opera-listing/staatsoper/lohengrin/23-october-2018/00-00
548,United Kingdom,Newcastle upon Tyne,Theatre Royal,"October 23, 25, 27 at 15:00","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/theatre-royal-238/tosca/23-october-2018/15-00
549,Spain,Madrid,Teatro Real,"October 23, 26, 29, 31, November 05, 07, 09 at 20:00","Saariaho, Kaija (b. 1952)",Only The Sound Remains,https://bachtrack.com/opera-listing/teatro-real/only-the-sound-remains/23-october-2018/20-00
550,United Kingdom,Durham,Durham Gala Theatre,On Tuesday 23 October 2018 at 19:30,"Handel, George Frideric (1685-1759)","Radamisto, HWV 12a, b",https://bachtrack.com/opera-listing/durham-gala-theatre/radamisto/23-october-2018/19-30
551,France,Paris,"Salle Favart, Opéra Comique",On Tuesday 23 October 2018 at 20:00,"Debussy, Claude (1862-1918)",Pelléas et Mélisande,https://bachtrack.com/opera-listing/opera-comique/pelleas-et-melisande/23-october-2018/20-00
552,Austria,Vienna,Staatsoper,"October 24, 27, 30, November 03 at 00:00","Verdi, Giuseppe (1813-1901)",Un ballo in maschera,https://bachtrack.com/opera-listing/staatsoper/un-ballo-in-maschera/24-october-2018/00-00
553,United Kingdom,Newcastle upon Tyne,Theatre Royal,"October 24, 26 at 19:30","Lehár, Franz (1870-1948)",Die Lustige Witwe (The Merry Widow),https://bachtrack.com/opera-listing/theatre-royal-238/die-lustige-witwe-the-merry-widow/24-october-2018/19-30
554,Germany,Berlin,Deutsche Oper,"October 25, 27, November 01 at 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/deutsche-oper/don-giovanni/25-october-2018/19-00
555,Spain,Barcelona,Palau de la Música: Sala de Concerts,On Thursday 25 October 2018 at 20:00,"Rossini, Gioachino (1792-1868)",La Cenerentola (Cinderella),https://bachtrack.com/concert-listing/palau-de-la-musica-2/cecilia-bartoli-la-cenerentola-by-rossni/25-october-2018/20-00
556,United States,New York City,Lincoln Center: Metropolitan Opera House,"October 25 19:30, October 29 19:30, November 02 20:00, November 05 20:00, November 09 20:00, November 13 19:30, November 17 13:00","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/tosca/25-october-2018/19-30
557,France,Paris,Opéra Bastille,"October 25, 30, November 01, 04 14:30, 07, 10, 13, 16, 19, 22, 25 14:30 (at 19:30 unless shown)","Donizetti, Gaetano (1797-1848)",L'elisir d'amore,https://bachtrack.com/opera-listing/opera-bastille/lelisir-damore/25-october-2018/19-30
558,United Kingdom,London,The London Coliseum,"October 25, 30, November 02, 07, 09, 15, 24, 30, December 05 at 19:30","Donizetti, Gaetano (1797-1848)",Lucia di Lammermoor,https://bachtrack.com/opera-listing/the-london-coliseum/lucia-di-lammermoor/25-october-2018/19-30
559,United Kingdom,London,Barbican Hall,On Friday 26 October 2018 at 18:30,"Handel, George Frideric (1685-1759)",Serse (Xerxes),https://bachtrack.com/opera-listing/barbican-hall/handel-serse-concert-performance/26-october-2018/18-30
560,United Kingdom,Saffron Walden,Saffron Hall,On Friday 26 October 2018 at 19:30,"Purcell, Henry (1659-1695)",Dido and Aeneas,https://bachtrack.com/concert-listing/saffron-hall/triple-bill-dido-amp-aeneas-purcell-jonas-carissimi-i-will-not-speak-gesualdo/26-october-2018/19-30
561,United Kingdom,Saffron Walden,Saffron Hall,On Saturday 27 October 2018 at 19:30,"Handel, George Frideric (1685-1759)","Radamisto, HWV 12a, b",https://bachtrack.com/opera-listing/saffron-hall/radamisto/27-october-2018/19-30
562,Germany,Berlin,"Berlin State Opera, Unter den Linden","October 27 19:00, October 31 19:00, November 03 19:00, November 08 19:00, November 11 16:00","Verdi, Giuseppe (1813-1901)",Il trovatore,https://bachtrack.com/opera-listing/berlin-state-opera-unter-den-linden/il-trovatore/27-october-2018/19-00
563,Switzerland,Geneva,L'Opéra des Nations,"October 28, November 03, 07, 09, 11 15:00, 13, 14, 15 (at 19:30 unless shown)","Mussorgsky, Modest Petrovich (1839-1881)",Boris Godunov,https://bachtrack.com/opera-listing/lopera-des-nations/boris-godunov/28-october-2018/19-30
564,Germany,Berlin,Deutsche Oper,"October 28, November 11, 2019 May 12 at 17:00","Wagner, Richard (1813-1883)",Lohengrin,https://bachtrack.com/opera-listing/deutsche-oper/lohengrin/28-october-2018/17-00
565,Germany,Frankfurt am Main,Oper Frankfurt,"October 28 18:00, November 01 19:00, November 03 19:00, November 08 19:00, November 11 15:30, November 16 19:00, November 18 18:00, November 23 19:00, November 25 19:00, December 01 19:00","Tchaikovsky, Pyotr Ilyich (1840-1893)",Iolanta,https://bachtrack.com/opera-listing/oper-frankfurt/iolanta-oedipus-rex/28-october-2018/18-00
566,Germany,Frankfurt am Main,Oper Frankfurt,"October 28 18:00, November 01 19:00, November 03 19:00, November 08 19:00, November 11 15:30, November 16 19:00, November 18 18:00, November 23 19:00, November 25 19:00, December 01 19:00","Stravinsky, Igor (1882-1971)",Oedipus Rex,https://bachtrack.com/opera-listing/oper-frankfurt/iolanta-oedipus-rex/28-october-2018/18-00
567,United Kingdom,Wolverhampton,Wolverhampton Grand Theatre,On Monday 29 October 2018 at 19:00,"Bach, Johann Sebastian (1685-1750)","St Matthew Passion, BWV244",https://bachtrack.com/concert-listing/wolverhampton-grand-theatre/st-matthew-passion/29-october-2018/19-00
568,United States,New York City,Lincoln Center: David H Koch Theater,"October 30 19:30, November 03 20:00","Erkel, Ferenc (1810-1893)",Bánk bán,https://bachtrack.com/opera-listing/lincoln-center-david-h-koch-theater/bank-ban/30-october-2018/19-30
569,Italy,Rome,"Teatro Costanzi, Teatro dell'Opera","October 30 19:00, October 31 19:00, November 02 19:00, November 03 18:00, November 06 19:00, November 07 19:00, November 08 19:00, November 09 19:00, November 10 18:00, November 11 16:30","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/teatro-costanzi-teatro-dellopera/le-nozze-di-figaro/30-october-2018/19-00
570,United States,New York City,Lincoln Center: Metropolitan Opera House,"October 30 19:30, November 03 13:00, November 06 19:30, November 10 20:00, November 15 19:30","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/carmen/30-october-2018/19-30
571,United States,New York City,Lincoln Center: David H Koch Theater,"October 31, November 02 at 19:00","Goldmark, Károly (1830-1915)",Die Königin von Saba (The Queen of Sheba),https://bachtrack.com/opera-listing/lincoln-center-david-h-koch-theater/die-konigin-von-saba-the-queen-of-sheba/31-october-2018/19-00
572,Norway,Bergen,Grieg Hall (Grieghallen),"October 31 18:00, November 02 19:00, November 03 19:00","Bernstein, Leonard (1918-1990)",Candide,https://bachtrack.com/opera-listing/grieg-hall-grieghallen/candide/31-october-2018/18-00
573,Austria,Vienna,Staatsoper,"October 31, November 05, 08 at 00:00","Donizetti, Gaetano (1797-1848)",L'elisir d'amore,https://bachtrack.com/opera-listing/staatsoper/lelisir-damore/31-october-2018/00-00
574,Latvia,Riga,Latvian National Opera,On Wednesday 31 October 2018 at 18:30,"Wagner, Richard (1813-1883)",Tannhäuser,https://bachtrack.com/opera-listing/latvian-national-opera/tannhauser/31-october-2018/18-30
575,United Kingdom,Aberdeen,His Majesty's Theatre,"November 01, 03 at 19:15","Verdi, Giuseppe (1813-1901)",Rigoletto,https://bachtrack.com/opera-listing/his-majestys-theatre/rigoletto/01-november-2018/19-15
576,United Kingdom,Hull,Hull New Theatre,"November 01, 03 at 15:00","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/hull-new-theatre/tosca/01-november-2018/15-00
577,United States,New York City,Lincoln Center: David H Koch Theater,"November 01 19:30, November 03 13:00","Bartók, Béla (1881-1945)",Duke Bluebeard's Castle,https://bachtrack.com/opera-listing/lincoln-center-david-h-koch-theater/bluebeards-castle-mario-and-the-magician/01-november-2018/19-30
578,Germany,Berlin,Komische Oper Berlin,"November 02 19:30, November 11 16:00, November 16 19:30, November 30 19:30, December 07 20:00, December 19 20:00, December 28 19:30","Massenet, Jules (1842-1912)",Cendrillon,https://bachtrack.com/opera-listing/komische-oper-berlin/cendrillon-cinderella/02-november-2018/19-30
579,Germany,Leipzig,Opernhaus,"November 02 19:30, December 08 19:00, 2019 February 10 18:00, March 16 19:00","Puccini, Giacomo (1858-1924)",Turandot,https://bachtrack.com/opera-listing/opernhaus/turandot/02-november-2018/19-30
580,United Kingdom,Hull,Hull New Theatre,On Friday  2 November 2018 at 19:30,"Lehár, Franz (1870-1948)",Die Lustige Witwe (The Merry Widow),https://bachtrack.com/opera-listing/hull-new-theatre/die-lustige-witwe-the-merry-widow/02-november-2018/19-30
581,Germany,Frankfurt am Main,Oper Frankfurt,"November 02 19:30, November 10 18:00, November 15 19:30, November 17 19:30, November 22 19:30, November 30 19:30","Strauss, Richard (1864-1949)",Ariadne auf Naxos,https://bachtrack.com/opera-listing/oper-frankfurt/ariadne-auf-naxos/02-november-2018/19-30
582,Germany,Leipzig,Opernhaus,"November 03 19:00, November 11 18:00, November 21 18:00, 2019 April 28 15:00","Strauss, Richard (1864-1949)",Elektra,https://bachtrack.com/opera-listing/opernhaus/elektra/03-november-2018/19-00
583,Netherlands,Amsterdam,Concertgebouw: Main Hall,On Saturday  3 November 2018 at 13:30,"Purcell, Henry (1659-1695)",Dido and Aeneas,https://bachtrack.com/opera-listing/concertgebouw-main-hall/early-opera-company-blow-and-purcell/03-november-2018/13-30
584,United Kingdom,London,Southbank Centre: Royal Festival Hall,On Saturday  3 November 2018 at 19:00,"Stravinsky, Igor (1882-1971)",The Rake's Progress,https://bachtrack.com/opera-listing/royal-festival-hall/the-rakes-progress/03-november-2018/19-00
585,United States,Chicago,Lyric Opera House,"November 03 18:00, November 07 13:00, November 11 13:00, November 16 18:00","Wagner, Richard (1813-1883)",Siegfried,https://bachtrack.com/opera-listing/lyric-opera-house/siegfried/03-november-2018/18-00
586,Germany,Munich,Nationaltheater,"November 04 18:00, November 07 19:00, November 11 19:00, November 15 19:00","Tchaikovsky, Pyotr Ilyich (1840-1893)",Eugene Onegin,https://bachtrack.com/opera-listing/nationaltheater-1927/eugene-onegin/04-november-2018/18-00
587,Italy,Milan,La Scala,"November 04, 07, 10, 14, 18, 29 at 20:00","Strauss, Richard (1864-1949)",Elektra,https://bachtrack.com/opera-listing/la-scala/elektra/04-november-2018/20-00
588,Switzerland,Zürich,Opernhaus,"November 04, 08, 11 13:00, 13, 16, 21, 24, 28 (at 19:00 unless shown)","Mozart, Wolfgang Amadeus (1756-1791)",Così fan tutte,https://bachtrack.com/opera-listing/opernhaus-1069/cosi-fan-tutte/04-november-2018/19-00
589,United Kingdom,Saffron Walden,Saffron Hall,On Sunday  4 November 2018 at 15:00,"Bach, Johann Sebastian (1685-1750)","St Matthew Passion, BWV244",https://bachtrack.com/concert-listing/saffron-hall/st-matthew-passion/04-november-2018/15-00
590,France,Lyon,L'Auditorium de Lyon,"November 05, 07 at 20:00","Verdi, Giuseppe (1813-1901)",Nabucco,https://bachtrack.com/opera-listing/lauditorium-de-lyon/nabucco/05-november-2018/20-00
591,United Kingdom,Canterbury,"Marlowe Theatre, Canterbury","November 06, 09 at 19:15","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/marlowe-theatre-canterbury/la-traviata/06-november-2018/19-15
592,Austria,Vienna,Staatsoper,"November 06, 09, 11 at 00:00","Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/staatsoper/madama-butterfly/06-november-2018/00-00
593,Belgium,Brussels,La Monnaie | De Munt: Grand Hall,"November 06, 07, 10, 11 15:00, 13, 14, 16, 17 (at 20:00 unless shown)","Janáček, Leoš (1854-1928)",From the House of the Dead,https://bachtrack.com/opera-listing/la-monnaie-de-munt-grand-hall/from-the-house-of-the-dead/06-november-2018/20-00
594,France,Paris,Château de Versailles: Royal Opera House,On Tuesday  6 November 2018 at 20:00,"Berlioz, Hector (1803-1869)",The Damnation of Faust (La Damnation de Faust),https://bachtrack.com/opera-listing/chateau-de-versailles-royal-opera-house/la-damnation-de-faust/06-november-2018/20-00
595,United Kingdom,Canterbury,"Marlowe Theatre, Canterbury","November 07, 10 at 19:15","Massenet, Jules (1842-1912)",Cendrillon,https://bachtrack.com/opera-listing/marlowe-theatre-canterbury/cendrillon/07-november-2018/19-15
596,United Kingdom,Nottingham,Theatre Royal,"November 07, 09 at 15:00","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/theatre-royal-912/tosca/07-november-2018/15-00
597,Australia,Melbourne,Arts Centre Melbourne: State Theatre,"November 07, 09, 12, 14, 16, 20, 24 13:00 (at 19:30 unless shown)","Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/arts-centre-melbourne-state-theatre/la-boheme/07-november-2018/19-30
598,Germany,Frankfurt am Main,Oper Frankfurt,"November 07, 09 at 19:00","Verdi, Giuseppe (1813-1901)",Il corsaro,https://bachtrack.com/opera-listing/oper-frankfurt/il-corsaro-konzertant/07-november-2018/19-00
599,Spain,Barcelona,Gran Teatre del Liceu,"November 08 20:00, November 11 17:00, November 15 20:00, November 18 18:00, November 20 20:00, November 22 20:00","Janáček, Leoš (1854-1928)",Káťa Kabanová,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/kata-kabanova/08-november-2018/20-00
600,United Kingdom,Nottingham,Theatre Royal,"November 08, 10 at 19:30","Lehár, Franz (1870-1948)",Die Lustige Witwe (The Merry Widow),https://bachtrack.com/opera-listing/theatre-royal-912/die-lustige-witwe-the-merry-widow/08-november-2018/19-30
601,United States,New York City,Lincoln Center: Metropolitan Opera House,"November 08 19:30, November 12 19:30, November 16 19:30, November 19 19:30, November 24 20:00, November 27 19:30, December 01 13:00","Boito, Arrigo (1842-1918)",Mefistofele,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/mefistofele/08-november-2018/19-30
602,United Kingdom,Edinburgh,Edinburgh Festival Theatre,"November 09 19:15, November 11 15:00, November 15 19:15, November 17 19:15","Verdi, Giuseppe (1813-1901)",Rigoletto,https://bachtrack.com/opera-listing/edinburgh-festival-theatre/rigoletto/09-november-2018/19-15
603,United Kingdom,Buxton,Buxton Opera House,On Friday  9 November 2018 at 19:30,"Handel, George Frideric (1685-1759)","Radamisto, HWV 12a, b",https://bachtrack.com/opera-listing/buxton-opera-house/radamisto/09-november-2018/19-30
604,Italy,Bologna,Teatro Comunale,"November 09, 10, 11, 13, 14, 15 at 00:00","Donizetti, Gaetano (1797-1848)",La Fille du régiment,https://bachtrack.com/opera-listing/teatro-comunale-1281/la-fille-du-regiment/09-november-2018/00-00
605,Germany,Munich,Nationaltheater,"November 10, 13, 18, 20 at 19:00","Verdi, Giuseppe (1813-1901)",Les Vêpres siciliennes,https://bachtrack.com/opera-listing/nationaltheater-1927/les-vepres-siciliennes/10-november-2018/19-00
606,United States,Washington,Kennedy Center: Eisenhower Theater,"November 10 19:00, November 14 19:30, November 17 19:00, November 18 14:00, November 20 19:30, November 23 19:30, November 25 14:00","Puts, Kevin (b. 1972)",Silent Night,https://bachtrack.com/opera-listing/kennedy-center-eisenhower-theater/silent-night/10-november-2018/19-00
607,Netherlands,Amsterdam,Dutch National Opera and Ballet,"November 10 20:00, November 13 20:00, November 16 20:00, November 18 14:00, November 20 20:00, November 23 20:00, November 25 14:00, November 28 20:00, November 30 20:00, December 02 14:00","Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/dutch-national-opera-and-ballet/il-barbiere-di-siviglia/10-november-2018/20-00
608,Germany,Berlin,Deutsche Oper,"November 10, 16, 22 at 19:30","Janáček, Leoš (1854-1928)",The Makropulos Case (Věc Makropulos),https://bachtrack.com/opera-listing/deutsche-oper/die-sache-makropulos/10-november-2018/19-30
