,work,date
808,Concert,1892-01-20
809,Les Huguenots,1892-01-20
810,Lohengrin,1892-01-22
811,Don Giovanni,1892-01-23
812,L'Africaine,1892-01-25
813,Roméo et Juliette,1892-01-25
814,Le Prophète,1892-01-27
815,Dinorah,1892-01-29
816,La Sonnambula,1892-01-29
817,Aida,1892-01-30
818,Il Barbiere di Siviglia,1892-01-30
819,Les Huguenots,1892-01-30
820,Faust,1892-02-01
821,Les Huguenots,1892-02-02
822,Norma,1892-02-03
823,Faust,1892-02-04
824,Mignon,1892-02-05
825,Faust,1892-02-06
826,Lohengrin,1892-02-08
827,Hamlet,1892-02-10
828,Roméo et Juliette,1892-02-11
829,Don Giovanni,1892-02-12
830,Roméo et Juliette,1892-02-13
831,L'Africaine,1892-02-15
832,Orfeo ed Euridice,1892-02-16
833,Rigoletto,1892-02-17
834,Mignon,1892-02-18
835,Faust,1892-02-19
836,Hamlet,1892-02-20
837,Lakmé,1892-02-22
838,Les Huguenots,1892-02-24
839,Faust,1892-02-25
840,Lakmé,1892-02-26
841,L'Africaine,1892-02-27
842,Faust,1892-02-29
843,Don Giovanni,1892-03-01
844,Die Meistersinger von Nürnberg,1892-03-02
845,Don Giovanni,1892-03-03
846,Carmen,1892-03-04
847,Die Meistersinger von Nürnberg,1892-03-05
848,Die Meistersinger von Nürnberg,1892-03-07
849,Orfeo ed Euridice,1892-03-08
850,Faust,1892-03-09
851,La Sonnambula,1892-03-09
852,Les Huguenots,1892-03-10
853,Orfeo ed Euridice,1892-03-11
854,Les Huguenots,1892-03-12
855,Les Huguenots,1892-03-14
856,Lakmé,1892-03-15
857,Roméo et Juliette,1892-03-16
858,Orfeo ed Euridice,1892-03-18
859,Martha,1892-03-19
860,Faust,1892-03-19
861,Die Meistersinger von Nürnberg,1892-03-21
862,Semiramide,1892-03-22
863,Lohengrin,1892-03-23
864,Don Giovanni,1892-03-25
865,Faust,1892-03-26
866,La Traviata,1892-03-26
867,Faust,1892-03-28
868,Lakmé,1892-03-29
869,La Traviata,1892-03-30
870,Der Fliegende Holländer,1892-03-31
871,Roméo et Juliette,1892-04-01
872,Martha,1892-04-02
873,Lohengrin,1892-04-04
874,Hamlet,1892-04-05
875,Faust,1892-04-06
876,Lucia di Lammermoor,1892-04-06
877,Faust,1892-04-08
878,Il Barbiere di Siviglia,1892-04-09
879,Martha,1892-04-23
880,Martha,1892-04-26
881,1892-93 Season Cancelled,1892-08-27
882,Faust,1893-11-27
883,Philémon et Baucis,1893-11-29
884,Lohengrin,1893-12-01
885,Faust,1893-12-02
886,First Grand Sunday Night Concert,1893-12-03
887,Lucia di Lammermoor,1893-12-04
888,Faust,1893-12-05
889,Hamlet,1893-12-06
890,Philémon et Baucis,1893-12-07
891,Roméo et Juliette,1893-12-08
892,Philémon et Baucis,1893-12-09
893,Second Grand Sunday Night Concert,1893-12-10
894,Orfeo ed Euridice,1893-12-11
895,Lohengrin,1893-12-12
896,Faust,1893-12-13
897,Lucia di Lammermoor,1893-12-14
898,Philémon et Baucis,1893-12-15
899,Lohengrin,1893-12-16
900,Third Grand Sunday Night Concert,1893-12-17
901,Les Huguenots,1893-12-18
902,Orfeo ed Euridice,1893-12-19
903,Carmen,1893-12-20
904,Lucia di Lammermoor,1893-12-21
905,Pagliacci,1893-12-22
906,Roméo et Juliette,1893-12-23
907,Fourth Grand Sunday Night ConcertStabat Mater,1893-12-24
908,Carmen,1893-12-25
909,Don Giovanni,1893-12-27
910,Faust,1893-12-28
911,Rigoletto,1893-12-29
912,Carmen,1893-12-30
913,Faust,1893-12-30
914,Fifth Grand Sunday Night ConcertStabat Mater,1893-12-31
915,Lohengrin,1894-01-01
916,Carmen,1894-01-02
917,Philémon et Baucis,1894-01-03
918,Carmen,1894-01-05
919,Faust,1894-01-06
920,Sixth Grand Sunday Night Concert,1894-01-07
921,Die Meistersinger von Nürnberg,1894-01-08
922,Rigoletto,1894-01-09
923,L'Amico Fritz,1894-01-10
924,Faust,1894-01-11
925,Semiramide,1894-01-12
926,Carmen,1894-01-13
927,Seventh Grand Sunday Night Concert,1894-01-14
928,Lohengrin,1894-01-15
929,Carmen,1894-01-16
930,Semiramide,1894-01-16
931,Die Meistersinger von Nürnberg,1894-01-17
932,Carmen,1894-01-18
933,Roméo et Juliette,1894-01-19
934,L'Amico Fritz Act IICavalleria Rusticana,1894-01-20
935,Eigth Grand Sunday Night Concert,1894-01-21
936,Carmen,1894-01-22
937,Lohengrin,1894-01-23
938,Semiramide,1894-01-24
939,Carmen,1894-01-25
940,Pagliacci,1894-01-26
941,Roméo et Juliette,1894-01-27
942,Ninth Grand Sunday Night Concert,1894-01-28
943,Tannhäuser,1894-01-29
944,Pagliacci,1894-01-30
945,Le Nozze di Figaro,1894-01-31
946,Tannhäuser,1894-02-01
947,Faust,1894-02-02
948,Carmen,1894-02-03
949,Tenth Grand Sunday Night ConcertWagner Concert,1894-02-04
950,Roméo et Juliette,1894-02-05
951,Lohengrin,1894-02-06
952,Carmen,1894-02-07
953,Le Nozze di Figaro,1894-02-08
954,La Traviata,1894-02-09
955,Roméo et Juliette,1894-02-10
956,Carmen,1894-02-10
957,Eleventh Grand Sunday Night Concert,1894-02-11
958,Rigoletto,1894-02-12
959,Faust,1894-02-13
960,Tannhäuser,1894-02-14
961,Gala Performance,1894-02-15
962,Le Nozze di Figaro,1894-02-16
963,Semiramide,1894-02-17
964,Carmen,1894-02-17
965,Twelfth Grand Sunday Night Concert,1894-02-18
966,Carmen,1894-02-19
967,Les Huguenots,1894-02-21
968,Carmen,1894-02-22
969,Faust,1894-02-23
970,Le Nozze di Figaro,1894-02-24
971,Carmen,1894-02-24
972,Thirteenth Grand Sunday Night Concert,1894-02-25
973,Faust,1894-02-26
974,Carmen,1894-02-27
975,Le Nozze di Figaro,1894-02-28
976,Roméo et Juliette,1894-03-01
977,Pagliacci,1894-03-02
978,Lucia di Lammermoor,1894-03-03
979,Faust,1894-03-03
980,Concert,1894-03-04
981,Les Huguenots,1894-03-05
982,Mignon,1894-03-06
983,Roméo et Juliette,1894-03-07
984,Carmen,1894-03-08
985,Semiramide,1894-03-08
986,Lohengrin,1894-03-09
987,Faust,1894-03-10
988,Carmen,1894-03-10
989,Faust,1894-03-12
990,Carmen,1894-03-13
991,Le Nozze di Figaro,1894-03-14
992,L'Africaine,1894-03-15
993,Lucia di Lammermoor,1894-03-16
994,Carmen,1894-03-17
995,Faust,1894-03-17
996,Lohengrin,1894-03-19
997,Semiramide,1894-03-20
998,Philémon et Baucis,1894-03-21
999,Roméo et Juliette,1894-03-22
1000,Mignon,1894-03-23
1001,Faust,1894-03-24
1002,Carmen,1894-03-26
1003,Rigoletto,1894-03-27
1004,Cavalleria Rusticana,1894-03-28
1005,Werther,1894-03-29
1006,Aida,1894-03-30
1007,Lucia di Lammermoor,1894-03-31
1008,Carmen,1894-03-31
1009,Les Huguenots,1894-04-02
1010,Cavalleria Rusticana,1894-04-03
1011,Tannhäuser,1894-04-04
1012,Lohengrin,1894-04-05
1013,Faust,1894-04-06
1014,Roméo et Juliette,1894-04-07
1015,Carmen,1894-04-07
1016,Faust,1894-04-09
1017,Carmen,1894-04-10
1018,Lohengrin,1894-04-11
1019,Lucia di Lammermoor,1894-04-11
1020,Pagliacci,1894-04-12
1021,Roméo et Juliette,1894-04-13
1022,Carmen,1894-04-14
1023,Le Nozze di Figaro,1894-04-14
1024,Faust,1894-04-16
1025,Carmen,1894-04-17
1026,Aida,1894-04-18
1027,Werther,1894-04-19
1028,Carmen,1894-04-19
1029,Semiramide,1894-04-20
1030,Roméo et Juliette,1894-04-21
1031,Carmen,1894-04-21
1032,Grand Sunday Night Concert,1894-04-22
1033,Benefit Concert,1894-04-23
1034,L'Africaine,1894-04-23
1035,Cavalleria Rusticana,1894-04-24
1036,Carmen,1894-04-25
1037,Faust,1894-04-25
1038,Lucia di Lammermoor,1894-04-26
1039,Gala Performance,1894-04-27
1040,Grand Sunday Night Concert,1894-04-29
1041,Concert,1894-10-10
1042,Concert,1894-10-12
1043,Concert,1894-10-13
1044,Concert,1894-10-15
1045,Concert,1894-10-17
1046,Concert,1894-10-18
1047,Concert,1894-10-20
1048,Concert,1894-10-21
1049,Concert,1894-10-28
1050,Mme. Melba in a Grand Operatic Concert,1894-11-02
1051,Concert,1894-11-04
1052,Concert,1894-11-10
1053,Concert,1894-11-11
1054,Roméo et Juliette,1894-11-19
1055,Guillaume Tell [William Tell],1894-11-21
1056,Aida,1894-11-23
1057,Roméo et Juliette,1894-11-24
1058,First Grand Sunday Night Concert Concert,1894-11-25
1059,Carmen,1894-11-26
1060,Lucia di Lammermoor,1894-11-28
1061,Carmen,1894-11-29
1062,Il Trovatore,1894-11-30
1063,Faust,1894-12-01
1064,Second Grand Sunday Night ConcertEminent Soloists,1894-12-02
1065,Otello,1894-12-03
1066,Concert,1894-12-04
1067,Carmen,1894-12-04
1068,Lohengrin,1894-12-05
1069,Rigoletto,1894-12-07
1070,Carmen,1894-12-08
1071,Aida,1894-12-08
1072,Third Grand Sunday Night Concert,1894-12-09
1073,Mignon,1894-12-09
1074,Otello,1894-12-11
1075,Faust,1894-12-12
1076,Otello,1894-12-13
1077,Lohengrin,1894-12-14
1078,Otello,1894-12-15
1079,Lucia di Lammermoor,1894-12-15
1080,Fourth Grand Sunday Night Concert,1894-12-16
1081,Elaine,1894-12-17
1082,Aida,1894-12-18
1083,Roméo et Juliette,1894-12-19
1084,Faust,1894-12-20
1085,Otello,1894-12-21
1086,Lohengrin,1894-12-22
1087,La Traviata,1894-12-22
1088,Fifth Grand Sunday Night Concert,1894-12-23
1089,Aida,1894-12-24
1090,Il Trovatore,1894-12-25
1091,Les Huguenots,1894-12-26
1092,Faust,1894-12-28
1093,Rigoletto,1894-12-29
1094,Guillaume Tell [William Tell],1894-12-29
1095,Sixth Grand Sunday Night Concert,1894-12-30
1096,Don Giovanni,1894-12-31
1097,Otello,1895-01-02
1098,Les Huguenots,1895-01-03
1099,Cavalleria Rusticana,1895-01-04
1100,Elaine,1895-01-05
1101,Carmen,1895-01-05
1102,Seventh Grand Sunday Night Concert,1895-01-06
1103,Faust,1895-01-07
1104,Il Trovatore,1895-01-08
1105,Lohengrin,1895-01-09
1106,Il Trovatore,1895-01-10
1107,Faust,1895-01-10
1108,Don Giovanni,1895-01-11
1109,Les Huguenots,1895-01-12
1110,Cavalleria Rusticana,1895-01-12
1111,Eighth Grand Sunday Night Concert,1895-01-13
1112,Lucia di Lammermoor,1895-01-14
1113,Don Giovanni,1895-01-15
1114,Manon,1895-01-16
1115,Carmen,1895-01-17
1116,Guillaume Tell [William Tell],1895-01-18
1117,Faust,1895-01-19
1118,Rigoletto,1895-01-19
1119,"Ninth Grand Sunday Night Concert
Stabat Mater",1895-01-20
1120,Les Huguenots,1895-01-21
1121,Manon,1895-01-22
1122,Lohengrin,1895-01-23
1123,Pagliacci,1895-01-24
1124,Semiramide,1895-01-25
1125,Manon,1895-01-26
1126,Rigoletto,1895-01-26
1127,"Tenth Grand Sunday Night Concert
Stabat Mater",1895-01-27
1128,Faust,1895-01-28
1129,Manon,1895-01-29
1130,La Traviata,1895-01-29
1131,Carmen,1895-01-30
1132,Aida,1895-01-31
1133,Manon,1895-02-01
1134,Don Giovanni,1895-02-02
1135,Il Trovatore,1895-02-02
1136,Eleventh Grand Sunday Night Concert,1895-02-03
1137,Falstaff,1895-02-04
1138,Les Huguenots,1895-02-05
1139,Cavalleria Rusticana,1895-02-06
1140,Falstaff,1895-02-07
1141,Les Huguenots,1895-02-07
1142,Samson et Dalila,1895-02-08
1143,Roméo et Juliette,1895-02-09
1144,Manon,1895-02-09
1145,Twelfth Sunday Night Concert,1895-02-10
1146,Carmen,1895-02-11
1147,Falstaff,1895-02-12
1148,L'Africaine,1895-02-13
1149,Falstaff,1895-02-14
1150,Les Huguenots,1895-02-15
1151,Falstaff,1895-02-16
1152,Faust,1895-02-16
1153,Thirteenth Grand Sunday Night Concert,1895-02-17
1154,Lohengrin,1895-02-18
1155,Otello,1895-02-19
1156,Faust,1895-02-20
1157,Manon,1895-02-20
1158,Lohengrin,1895-02-21
1159,Otello,1895-02-22
1160,Faust,1895-02-23
1161,Manon,1895-02-23
1162,Samson et Dalila,1895-02-24
1163,Les Huguenots,1895-02-25
1164,Otello,1895-02-26
1165,Carmen,1895-02-27
1166,Les Huguenots,1895-02-28
1167,Falstaff,1895-02-28
1168,Il Trovatore,1895-03-01
1169,Rigoletto,1895-03-02
1170,Faust,1895-03-02
1171,Fifteenth Sunday Concert,1895-03-03
1172,Stabat Mater,1895-03-03
1173,Les Huguenots,1895-03-04
1174,Don Giovanni,1895-03-05
1175,Faust,1895-03-06
1176,Carmen,1895-03-06
1177,Falstaff,1895-03-07
1178,Roméo et Juliette,1895-03-08
1179,Manon,1895-03-09
1180,Otello,1895-03-10
1181,Les Huguenots,1895-03-11
1182,Otello,1895-03-12
1183,Roméo et Juliette,1895-03-13
1184,Falstaff,1895-03-14
1185,Aida,1895-03-15
1186,Otello,1895-03-16
1187,Les Huguenots,1895-03-16
1188,Faust,1895-03-18
1189,Rigoletto,1895-03-19
1190,Lohengrin,1895-03-20
1191,Don Giovanni,1895-03-21
1192,Il Trovatore,1895-03-22
1193,Les Huguenots,1895-03-23
1194,Falstaff,1895-03-23
1195,Carmen,1895-03-25
1196,Lucia di Lammermoor,1895-03-26
1197,Lohengrin,1895-03-27
1198,Le Nozze di Figaro,1895-03-27
1199,Aida,1895-03-28
1200,Roméo et Juliette,1895-03-29
1201,Faust,1895-03-30
1202,Il Trovatore,1895-03-30
1203,Les Huguenots,1895-04-01
1204,Otello,1895-04-02
1205,Faust,1895-04-03
1206,Don Giovanni,1895-04-03
1207,Die Meistersinger von Nürnberg,1895-04-04
1208,Il Trovatore,1895-04-05
1209,Lucia di Lammermoor,1895-04-06
1210,Falstaff,1895-04-06
1211,Lohengrin,1895-04-09
1212,Le Nozze di Figaro,1895-04-10
1213,Roméo et Juliette,1895-04-11
1214,Aida,1895-04-11
1215,Pagliacci,1895-04-12
1216,Lucia di Lammermoor,1895-04-13
1217,Faust,1895-04-13
1218,ConcertStabat Mater,1895-04-14
1219,Falstaff,1895-04-15
1220,Les Huguenots,1895-04-16
1221,Le Prophète,1895-04-17
1222,Falstaff,1895-04-18
1223,Aida,1895-04-19
1224,Roméo et Juliette,1895-04-20
1225,Lucia di Lammermoor,1895-04-20
1226,Sixteenth Grand Sunday Night Concert,1895-04-21
1227,Die Meistersinger von Nürnberg,1895-04-22
1228,Rigoletto,1895-04-23
1229,Lohengrin,1895-04-24
1230,Don Giovanni,1895-04-26
1231,Faust,1895-04-27
1232,Il Trovatore,1895-04-27
1233,Seventeenth and Last Grand Sunday Night Concert,1895-04-28
1234,Le Nozze di Figaro,1895-04-29
1235,Gala Performance,1895-04-30
1236,Roméo et Juliette,1895-11-18
1237,Carmen,1895-11-20
1238,Lohengrin,1895-11-22
1239,Carmen,1895-11-23
1240,La Traviata,1895-11-23
1241,First Grand Sunday Night Concert,1895-11-24
1242,Philémon et Baucis,1895-11-25
1243,Tristan und Isolde,1895-11-27
1244,Carmen,1895-11-28
1245,La Favorita,1895-11-29
1246,Tristan und Isolde,1895-11-30
1247,Faust,1895-11-30
1248,Second Grand Sunday Night Concert,1895-12-01
1249,Lohengrin,1895-12-02
1250,Hamlet,1895-12-04
1251,Tristan und Isolde,1895-12-05
1252,Carmen,1895-12-06
1253,La Traviata,1895-12-07
1254,Il Trovatore,1895-12-07
1255,Third Grand Sunday Night Concert,1895-12-08
1256,Faust,1895-12-09
1257,Orfeo ed Euridice,1895-12-11
1258,Tannhäuser,1895-12-12
1259,Philémon et Baucis,1895-12-13
1260,Roméo et Juliette,1895-12-14
1261,La Favorita,1895-12-14
1262,Fourth Grand Sunday Night ConcertStabat Mater,1895-12-15
1263,Aida,1895-12-16
1264,Carmen,1895-12-17
1265,Pagliacci,1895-12-18
1266,Tristan und Isolde,1895-12-19
1267,Carmen,1895-12-20
1268,Faust,1895-12-21
1269,Lohengrin,1895-12-21
1270,Fifth Grand Sunday Night ConcertMessiah,1895-12-22
1271,Tristan und Isolde,1895-12-23
1272,Tannhäuser,1895-12-24
1273,Aida,1895-12-25
1274,Fidelio,1895-12-26
1275,Roméo et Juliette,1895-12-27
1276,Lohengrin,1895-12-28
1277,Tannhäuser,1895-12-28
1278,Sixth Grand Sunday Night ConcertMessiah,1895-12-29
1279,Faust,1895-12-30
1280,Lohengrin,1895-12-31
1281,Lucia di Lammermoor,1896-01-01
1282,Lohengrin,1896-01-02
1283,La Traviata,1896-01-03
1284,Aida,1896-01-04
1285,Rigoletto,1896-01-04
1286,Seventh Grand Sunday Night Concert,1896-01-05
1287,Carmen,1896-01-06
1288,Faust,1896-01-07
1289,Les Huguenots,1896-01-08
1290,Die Walküre,1896-01-09
1291,Faust,1896-01-10
1292,La Navarraise,1896-01-11
1293,Aida,1896-01-11
1294,Eighth Grand Sunday Night Concert,1896-01-12
1295,Les Huguenots,1896-01-13
1296,Rigoletto,1896-01-14
1297,Mefistofele,1896-01-15
1298,Die Walküre,1896-01-16
1299,Carmen,1896-01-17
1300,Faust,1896-01-18
1301,Cavalleria Rusticana,1896-01-18
1302,Ninth Grand Sunday Night Concert ?,1896-01-19
1303,Roméo et Juliette,1896-01-20
1304,Philémon et Baucis,1896-01-21
1305,Falstaff,1896-01-22
1306,Lohengrin,1896-01-23
1307,Faust,1896-01-24
1308,Lucia di Lammermoor,1896-01-25
1309,Il Trovatore,1896-01-25
1310,"Tenth Grand Sunday Night Concert
Stabat Mater",1896-01-26
1311,Manon,1896-01-27
1312,Falstaff,1896-01-28
1313,Carmen,1896-01-29
1314,Tristan und Isolde,1896-01-30
1315,Falstaff,1896-01-31
1316,Mefistofele,1896-02-01
1317,Les Huguenots,1896-02-01
1318,"Eleventh Grand Sunday Night Concert
La Damnation de Faust",1896-02-02
1319,Carmen,1896-02-03
1320,Les Huguenots,1896-02-04
1321,Manon,1896-02-05
1322,Tannhäuser,1896-02-06
1323,Lucia di Lammermoor,1896-02-07
1324,Les Huguenots,1896-02-08
1325,Falstaff,1896-02-08
1326,"Twelfth Grand Sunday Night Concert
La Damnation de Faust",1896-02-09
1327,Die Meistersinger von Nürnberg,1896-02-10
1328,Les Huguenots,1896-02-12
1329,Carmen,1896-02-13
1330,Faust,1896-02-14
1331,Carmen,1896-02-15
1332,Lohengrin,1896-02-15
1333,Thirteenth Grand Sunday Night Concert,1896-02-16
1334,Faust,1896-02-17
1335,Carmen,1896-02-18
1336,Les Huguenots,1896-02-19
1337,Lucia di Lammermoor,1896-02-20
1338,Tristan und Isolde,1896-02-21
1339,Carmen,1896-02-22
1340,Falstaff,1896-02-22
1341,La Damnation de Faust,1896-02-23
1342,Roméo et Juliette,1896-02-24
1343,Aida,1896-02-25
1344,Manon,1896-02-26
1345,Il Trovatore,1896-02-27
1346,Lohengrin,1896-02-28
1347,Faust,1896-02-29
1348,Carmen,1896-02-29
1349,Faust,1896-03-02
1350,Roméo et Juliette,1896-03-03
1351,Aida,1896-03-04
1352,Falstaff,1896-03-04
1353,Carmen,1896-03-05
1354,Roméo et Juliette,1896-03-06
1355,Carmen,1896-03-07
1356,Aida,1896-03-07
1357,Falstaff,1896-03-07
1358,Faust,1896-03-09
1359,Carmen,1896-03-10
1360,Les Huguenots,1896-03-11
1361,Lohengrin,1896-03-11
1362,Rigoletto,1896-03-12
1363,Tristan und Isolde,1896-03-13
1364,Lucia di Lammermoor,1896-03-14
1365,Falstaff,1896-03-14
1366,Les Huguenots,1896-03-16
1367,Carmen,1896-03-17
1368,Faust,1896-03-18
1369,Aida,1896-03-18
1370,Carmen,1896-03-19
1371,Faust,1896-03-20
1372,Aida,1896-03-21
1373,Falstaff,1896-03-21
1374,Faust,1896-03-23
1375,Carmen,1896-03-24
1376,Les Huguenots,1896-03-25
1377,La Traviata,1896-03-26
1378,Tristan und Isolde,1896-03-27
1379,Carmen,1896-03-28
1380,Rigoletto,1896-03-28
1381,Roméo et Juliette,1896-03-30
1382,Il Trovatore,1896-03-31
1383,Faust,1896-04-01
1384,Lohengrin,1896-04-02
1385,Lucia di Lammermoor,1896-04-03
1386,Les Huguenots,1896-04-04
1387,Carmen,1896-04-04
1388,Roméo et Juliette,1896-04-06
1389,Carmen,1896-04-07
1390,La Traviata,1896-04-08
1391,Les Huguenots,1896-04-08
1392,Faust,1896-04-09
1393,Lohengrin,1896-04-10
1394,Carmen,1896-04-11
1395,Aida,1896-04-11
1396,Roméo et Juliette,1896-04-13
1397,Carmen,1896-04-14
1398,Lohengrin,1896-04-15
1399,Don Giovanni,1896-04-16
1400,Lucia di Lammermoor,1896-04-17
1401,Les Huguenots,1896-04-18
1402,La Traviata,1896-04-18
1403,Grand Sunday Night Concert,1896-04-19
1404,Carmen,1896-04-20
1405,Aida,1896-04-21
1406,Faust,1896-04-22
1407,Falstaff,1896-04-23
1408,Gala NightTestimonial Performance to Henry E. Abbey & Maurice Grau,1896-04-24
1409,Carmen,1896-04-25
1410,Lohengrin,1896-04-25
1411,Last Grand Sunday Night Concert,1896-04-26
1412,Tristan und Isolde,1896-04-27
1413,Carmen,1896-04-28
1414,Faust,1896-11-16
1415,Die Meistersinger von Nürnberg,1896-11-18
1416,Tannhäuser,1896-11-20
1417,Faust,1896-11-21
1418,La Favorita,1896-11-21
1419,First Grand Sunday Night Concert,1896-11-22
1420,Roméo et Juliette,1896-11-23
1421,Les Huguenots,1896-11-25
1422,Lohengrin,1896-11-27
1423,La Favorita,1896-11-28
1424,Aida,1896-11-28
1425,Second Grand Sunday Night Concert,1896-11-29
1426,Die Meistersinger von Nürnberg,1896-11-30
1427,Aida,1896-12-02
1428,Roméo et Juliette,1896-12-02
1429,Aida,1896-12-04
1430,Lohengrin,1896-12-05
1431,Il Trovatore,1896-12-05
1432,Third Grand Sunday Night Concert,1896-12-06
1433,Don Giovanni,1896-12-07
1434,Tannhäuser,1896-12-09
1435,Faust,1896-12-09
1436,Carmen,1896-12-11
1437,Roméo et Juliette,1896-12-12
1438,Martha,1896-12-12
1439,Fourth Grand Sunday Night Concert,1896-12-13
1440,Lohengrin,1896-12-14
1441,Don Giovanni,1896-12-16
1442,Lucia di Lammermoor,1896-12-16
1443,Les Huguenots,1896-12-18
1444,Carmen,1896-12-19
1445,Faust,1896-12-19
1446,Fifth Grand Sunday Night Concert,1896-12-20
1447,La Traviata,1896-12-21
1448,Faust,1896-12-23
1449,Carmen,1896-12-25
1450,Die Meistersinger von Nürnberg,1896-12-26
1451,Lucia di Lammermoor,1896-12-26
1452,Sixth Grand Sunday Night Concert,1896-12-27
1453,Mefistofele,1896-12-28
1454,Siegfried,1896-12-30
1455,Hamlet,1897-01-01
1456,Siegfried,1897-01-02
1457,Tannhäuser,1897-01-02
1458,Seventh Grand Sunday Night Concert,1897-01-03
1459,Faust,1897-01-04
1460,Werther,1897-01-06
1461,Roméo et Juliette,1897-01-07
1462,Lohengrin,1897-01-08
1463,La Traviata,1897-01-09
1464,Don Giovanni,1897-01-09
1465,Eighth Grand Sunday Night Concert,1897-01-10
1466,Siegfried,1897-01-11
1467,Carmen,1897-01-11
1468,Mefistofele,1897-01-13
1469,Tristan und Isolde,1897-01-15
1470,Faust,1897-01-16
1471,Roméo et Juliette,1897-01-16
1472,Ninth Grand Sunday Night Concert,1897-01-17
1473,La Traviata,1897-01-18
1474,Lohengrin,1897-01-19
1475,Carmen,1897-01-20
1476,Siegfried,1897-01-22
1477,Mefistofele,1897-01-23
1478,Les Huguenots,1897-01-23
1479,Tenth Grand Sunday Night Concert,1897-01-24
1480,Roméo et Juliette,1897-01-25
1481,Carmen,1897-01-26
1482,Lohengrin,1897-01-27
1483,Les Huguenots,1897-01-28
1484,Faust,1897-01-29
1485,Tristan und Isolde,1897-01-30
1486,Rigoletto,1897-01-30
1487,Eleventh Grand Sunday Night ConcertStabat Mater,1897-01-31
1488,Carmen,1897-02-01
1489,L'Africaine,1897-02-03
1490,Mefistofele,1897-02-05
1491,Siegfried,1897-02-06
1492,Lohengrin,1897-02-06
1493,Twelfth Grand Sunday Night Concert,1897-02-07
1494,Faust,1897-02-08
1495,Benefit for New York's Poor,1897-02-09
1496,Martha,1897-02-10
1497,Faust,1897-02-11
1498,Le Cid,1897-02-12
1499,Carmen,1897-02-13
1500,Il Trovatore,1897-02-13
1501,Thirteenth and Last ConcertStabat Mater,1897-02-14
1502,Le Cid,1897-02-15
1503,Faust,1897-02-17
1504,Carmen,1897-02-19
1505,Siegfried,1897-02-20
1506,Carmen,1897-02-22
1507,Les Huguenots,1897-02-23
1508,Martha,1897-02-24
1509,Faust,1897-02-25
1510,Tristan und Isolde,1897-02-26
1511,Carmen,1897-02-27
1512,L'Africaine,1897-03-01
1513,Mefistofele,1897-03-02
1514,Aida,1897-03-03
1515,Carmen,1897-03-04
1516,Il Trovatore,1897-03-05
1517,Faust,1897-03-06
1518,Le Cid,1897-03-08
1519,Carmen,1897-03-09
1520,Lohengrin,1897-03-10
1521,Faust,1897-03-11
1522,Siegfried,1897-03-12
1523,Martha,1897-03-13
1524,Philémon et Baucis,1897-03-15
1525,Les Huguenots,1897-03-16
1526,Faust,1897-03-17
